epoch,val_loss,val_accuracy,loss,accuracy,lr
0,0.5635887180605242,0.7522580623626709,0.7328539047907713,0.5811043977737427,9.999999747378752e-05
1,0.549910754542197,0.7722580432891846,0.6378895882597455,0.6548749208450317,9.999999747378752e-05
2,0.541292554332364,0.7832258343696594,0.6210280896467418,0.6902502179145813,9.999999747378752e-05
3,0.5295717477798462,0.7832258343696594,0.609358550146595,0.7075064778327942,9.999999747378752e-05
4,0.5260431458873134,0.7974193692207336,0.5928789771148313,0.717860221862793,9.999999747378752e-05
5,0.5228023359852453,0.7948387265205383,0.5683664731469208,0.7459016442298889,9.999999747378752e-05
6,0.51700569352796,0.7954838871955872,0.5631978517981621,0.7484900951385498,9.999999747378752e-05
7,0.5106229028394146,0.8038709759712219,0.5659394889067122,0.7415875792503357,9.999999747378752e-05
8,0.5108238697052002,0.8038709759712219,0.5638801894689861,0.743313193321228,9.999999747378752e-05
9,0.5085380008143764,0.8083871006965637,0.5477157302772927,0.7428817749023438,9.999999747378752e-05
10,0.5051963544660999,0.8070967793464661,0.5402053659388071,0.7610008716583252,9.999999747378752e-05
11,0.5036801745814662,0.8096774220466614,0.5375194551103376,0.7627264857292175,9.999999747378752e-05
12,0.4979669817032353,0.8058064579963684,0.5409848988570459,0.7631579041481018,9.999999747378752e-05
13,0.5007506862763436,0.8103225827217102,0.5503985431813494,0.7635893225669861,9.999999747378752e-05
14,0.49602975922246134,0.8083871006965637,0.5422786614368248,0.7683347463607788,9.999999747378752e-05
15,0.4969531366902013,0.8051612973213196,0.5349929919008349,0.7691975831985474,9.999999747378752e-05
16,0.49388379666113086,0.8064516186714172,0.5259567451075915,0.7748058438301086,9.999999747378752e-05
17,0.48827925497485747,0.8045161366462708,0.5142925304004712,0.7761000990867615,9.999999747378752e-05
18,0.486096933580214,0.8077419400215149,0.5098278266381765,0.7903364896774292,9.999999747378752e-05
19,0.49068508686557893,0.8051612973213196,0.5162100886300888,0.782139778137207,9.999999747378752e-05
20,0.4894113540649414,0.8103225827217102,0.5204098464292736,0.7817083597183228,9.999999747378752e-05
21,0.48964780222985055,0.8083871006965637,0.5217934173690131,0.7817083597183228,9.999999747378752e-05
22,0.48417254570991763,0.8083871006965637,0.5157586767613836,0.7855910062789917,9.999999747378752e-05
23,0.4850339089670489,0.8077419400215149,0.4999710359997128,0.7868852615356445,9.999999747378752e-05
24,0.4815058285190213,0.8090322613716125,0.5014721576616207,0.7886108756065369,9.999999747378752e-05
25,0.4834150291258289,0.8096774220466614,0.5010513460152719,0.7868852615356445,9.999999747378752e-05
26,0.48246445732731974,0.8083871006965637,0.5026450495816593,0.7907679080963135,9.999999747378752e-05
27,0.4789480770787885,0.8129032254219055,0.4853483943768469,0.7972390055656433,9.999999747378752e-05
28,0.4791940681395992,0.8122580647468567,0.49625696299711725,0.7886108756065369,9.999999747378752e-05
29,0.47588358463779573,0.8161290287971497,0.49582301942925705,0.7899050712585449,9.999999747378752e-05
30,0.4783452303178849,0.8154838681221008,0.48763814571090974,0.7959447503089905,9.999999747378752e-05
31,0.47701230587497834,0.8096774220466614,0.49035489633743673,0.7933563590049744,9.999999747378752e-05
32,0.4779069631330429,0.8116129040718079,0.4832521408307748,0.7903364896774292,9.999999747378752e-05
33,0.4772997486975885,0.8090322613716125,0.4868596285915868,0.7937877774238586,9.999999747378752e-05
34,0.4775690201790102,0.8064516186714172,0.4861186924836469,0.7950819730758667,9.999999747378752e-05
35,0.47700147398056525,0.8103225827217102,0.5037056892673141,0.7873166799545288,9.999999747378752e-05
36,0.47823566467531264,0.8135483860969543,0.49259525696916556,0.7920621037483215,9.999999747378752e-05
37,0.47865726947784426,0.8122580647468567,0.4812040246180978,0.7972390055656433,9.999999747378752e-05
38,0.4785669634419103,0.8103225827217102,0.4948647500781585,0.7959447503089905,9.999999747378752e-05
39,0.47535297101543794,0.8141935467720032,0.4898645780125602,0.7976704239845276,9.999999747378752e-05
40,0.47531141311891617,0.8141935467720032,0.4765005590742883,0.8058671355247498,2.499999936844688e-05
41,0.4752452588850452,0.8141935467720032,0.48516582740700587,0.8015530705451965,2.499999936844688e-05
42,0.4749632512369463,0.814838707447052,0.4718543362062074,0.8019844889640808,2.499999936844688e-05
43,0.4749832460957189,0.8141935467720032,0.47566735446195957,0.7959447503089905,2.499999936844688e-05
44,0.473785121979252,0.8141935467720032,0.4756988959902828,0.7981017827987671,2.499999936844688e-05
45,0.47425689005082655,0.814838707447052,0.47462989823174334,0.7993960380554199,2.499999936844688e-05
46,0.4745626703385384,0.8129032254219055,0.47549848642917003,0.7993960380554199,2.499999936844688e-05
47,0.4745830143651655,0.8122580647468567,0.4746306760235014,0.8045728802680969,2.499999936844688e-05
48,0.4743140889752296,0.8122580647468567,0.4802834681131595,0.7985332012176514,2.499999936844688e-05
49,0.4737315631681873,0.8103225827217102,0.4699339875380884,0.8011216521263123,2.499999936844688e-05
50,0.4736754378964824,0.8096774220466614,0.4704841306437903,0.7963761687278748,6.24999984211172e-06
51,0.47337334156036376,0.8103225827217102,0.4725189944142612,0.8002588152885437,6.24999984211172e-06
52,0.4734108332664736,0.8103225827217102,0.47222752957841874,0.8075927495956421,6.24999984211172e-06
53,0.4736260860197006,0.8116129040718079,0.46759996802977594,0.8011216521263123,6.24999984211172e-06
54,0.4734198877888341,0.8116129040718079,0.46679403251671814,0.8037101030349731,6.24999984211172e-06
